error_magnitude,q_error_sign,v_error_sign,protection,independent_instances,objective_degradation_percent_n,objective_degradation_percent_mean,objective_degradation_percent_std,objective_degradation_percent_ci95_low,objective_degradation_percent_ci95_high,strategy_change_rate_n,strategy_change_rate_mean,strategy_change_rate_std,strategy_change_rate_ci95_low,strategy_change_rate_ci95_high,true_workload_violation_n,true_workload_violation_mean,true_workload_violation_std,true_workload_violation_ci95_low,true_workload_violation_ci95_high,true_memory_violation_n,true_memory_violation_mean,true_memory_violation_std,true_memory_violation_ci95_low,true_memory_violation_ci95_high
0.3,-1,-1,fixed_margin,50,50,0.04171376935530006,0.035495575039263205,0.031626038545128736,0.05180150016547138,50,0.0182,0.014803474495633014,0.013992899097929862,0.02240710090207014,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.3,-1,-1,no_margin,50,50,0.07647100724333968,0.06320453884551824,0.058508476050385685,0.09443353843629367,50,0.0206,0.011322724125962491,0.017382117407755825,0.023817882592244176,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.3,-1,1,conservative_quantization,50,50,2.3135627959748466,1.4425459572887258,1.9035957710053133,2.72352982094438,50,0.133,0.037647668437441245,0.12230065101333337,0.14369934898666664,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.3,-1,1,fixed_margin,50,50,1.7073942125997468,1.4772330770322537,1.287569217272899,2.1272192079265944,50,0.11160000000000002,0.04756778192801322,0.09808138595315205,0.125118614046848,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.3,-1,1,no_margin,50,50,1.0928172362218427,1.4490430480162704,0.6810037584976707,1.5046307139460147,50,0.0766,0.05282276874567618,0.061587935223900714,0.09161206477609929,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.3,1,-1,conservative_quantization,50,50,0.08589860918686303,0.05797035249876724,0.06942361729473435,0.1023736010789917,50,0.0238,0.015503784923004303,0.019393873076600072,0.02820612692339993,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.3,1,-1,fixed_margin,50,50,0.12080486086862278,0.07829554273507511,0.0985535138239829,0.14305620791326268,50,0.0264,0.017233095828571684,0.021502408355063347,0.03129759164493665,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.3,1,-1,no_margin,50,50,0.06641255714692731,0.04976539621914495,0.05226938802894723,0.0805557262649074,50,0.021,0.016067459827431418,0.01643367844124003,0.025566321558759972,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.3,1,1,conservative_quantization,50,50,1.1197688622849633,1.4552619119144816,0.7061880029961638,1.5333497215737628,50,0.0582,0.03977949425602727,0.04689479281922661,0.0695052071807734,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.3,1,1,fixed_margin,50,50,0.24567780612702822,0.360118952175378,0.14333313231436867,0.34802247993968777,50,0.0274,0.013822489807910728,0.023471691861469995,0.031328308138530006,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.3,1,1,no_margin,50,50,0.10105711378728617,0.13792835865307387,0.061858307974395337,0.140255919600177,50,0.0218,0.015345011819972705,0.01743899589321895,0.02616100410678105,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
