workload_capacity_fraction,memory_available_gb_config,memory_mode,independent_instances,public_objective_J_n,public_objective_J_mean,public_objective_J_std,public_objective_J_ci95_low,public_objective_J_ci95_high,quantized_oracle_gap_percent_n,quantized_oracle_gap_percent_mean,quantized_oracle_gap_percent_std,quantized_oracle_gap_percent_ci95_low,quantized_oracle_gap_percent_ci95_high,offload_rate_n,offload_rate_mean,offload_rate_std,offload_rate_ci95_low,offload_rate_ci95_high,workload_utilization_n,workload_utilization_mean,workload_utilization_std,workload_utilization_ci95_low,workload_utilization_ci95_high,memory_utilization_n,memory_utilization_mean,memory_utilization_std,memory_utilization_ci95_low,memory_utilization_ci95_high,true_workload_violation_n,true_workload_violation_mean,true_workload_violation_std,true_workload_violation_ci95_low,true_workload_violation_ci95_high,true_memory_violation_n,true_memory_violation_mean,true_memory_violation_std,true_memory_violation_ci95_low,true_memory_violation_ci95_high,barrier_penalty_n,barrier_penalty_mean,barrier_penalty_std,barrier_penalty_ci95_low,barrier_penalty_ci95_high,rejections_workload_n,rejections_workload_mean,rejections_workload_std,rejections_workload_ci95_low,rejections_workload_ci95_high,rejections_memory_n,rejections_memory_mean,rejections_memory_std,rejections_memory_ci95_low,rejections_memory_ci95_high,rejections_cost_n,rejections_cost_mean,rejections_cost_std,rejections_cost_ci95_low,rejections_cost_ci95_high
0.2,13.0,none,50,50,252.2012171516278,14.517929085737666,248.07526735715115,256.32716694610446,0,,,,,50,0.0786,0.009691148917798072,0.07584580595142094,0.08135419404857906,50,0.5576015226060395,0.06158272050855875,0.5400999070846346,0.5751031381274443,50,0.145525,0.014978918008116517,0.1412680386033649,0.14978196139663508,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,92.14,0.9691148917798074,91.8645805951421,92.4154194048579
0.2,13.0,soft,50,50,252.20135811550128,14.517800996252795,248.07544472365345,256.3272715073491,0,,,,,50,0.0786,0.009691148917798072,0.07584580595142094,0.08135419404857906,50,0.557218148917581,0.06213781319524268,0.539558777800112,0.5748775200350501,50,0.14544999999999997,0.015022856735314881,0.14118055135526064,0.1497194486447393,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.010274807830061858,0.0022055998710295063,0.009647983282233485,0.010901632377890231,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,92.14,0.9691148917798074,91.8645805951421,92.4154194048579
0.4,1.5,hard,50,50,255.29733065653082,16.299851758240113,250.66496404179244,259.9296972712692,50,0.9444218438561869,0.541229515189816,0.7906061175377628,1.098237570174611,50,0.0622,0.006157789160643519,0.06044997568373942,0.06395002431626058,50,0.2130953441235465,0.011468767169724864,0.20983595655749804,0.21635473168959496,50,0.9609166666666666,0.033210765302425505,0.9514782715991106,0.9703550617342227,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,93.76,0.6246631745450127,93.58247269005034,93.93752730994967,50,0.02,0.14142135623730948,-0.020191504742584774,0.06019150474258478
0.4,1.5,none,50,50,248.1506601215423,13.349394784425565,244.35680410103745,251.94451614204715,0,,,,,50,0.12220000000000003,0.01542460266415115,0.11781637642557721,0.12658362357442285,50,0.44298059305963006,0.04573438767397967,0.42998302389466236,0.45597816222459775,50,1.9701499999999996,0.18322149418041886,1.9180790274946955,2.0222209725053037,50,0.0,0.0,0.0,0.0,50,1.0,0.0,1.0,1.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,87.78,1.542460266415115,87.34163764255771,88.21836235744229
0.4,1.5,soft,50,50,256.15266472287254,16.060181366795554,251.58841167973813,260.71691776600693,0,,,,,50,0.0496,0.005699982098074286,0.047980083011345334,0.05121991698865466,50,0.17130678938859656,0.013133871738908183,0.1675741843399146,0.1750393944372785,50,0.7728500000000001,0.04916510720460101,0.7588774311323421,0.7868225688676582,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,1.0673916275209048,0.5527970945786963,0.9102884315144637,1.2244948235273458,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,95.04,0.5699982098074287,94.87800830113454,95.20199169886547
0.4,2.0,hard,50,50,253.9814725651473,16.015368397613763,249.4299552269398,258.5329899033548,50,1.2287242012281148,0.6763256864122882,1.0365145678587515,1.420933834597478,50,0.08259999999999999,0.006942915931555921,0.08062684512428059,0.0845731548757194,50,0.28857223627607587,0.012593783489702012,0.28499312260950854,0.2921513499426432,50,0.9634625,0.026523781805683547,0.9559245246149699,0.9710004753850301,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,91.7,0.6776309271789385,91.5074194213091,91.89258057869091,50,0.04,0.28284271247461895,-0.04038300948516955,0.12038300948516956
0.4,2.0,none,50,50,248.1506601215423,13.349394784425565,244.35680410103745,251.94451614204715,0,,,,,50,0.12220000000000003,0.01542460266415115,0.11781637642557721,0.12658362357442285,50,0.44298059305963006,0.04573438767397967,0.42998302389466236,0.45597816222459775,50,1.4776125,0.1374161206353141,1.438559270621022,1.516665729378978,50,0.0,0.0,0.0,0.0,50,1.0,0.0,1.0,1.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,87.78,1.542460266415115,87.34163764255771,88.21836235744229
0.4,2.0,soft,50,50,253.24129080149035,15.190136579297407,248.92430175110337,257.55827985187733,0,,,,,50,0.0628,0.006401530429259453,0.06098070518164423,0.06461929481835577,50,0.22372033708447112,0.016629975376759996,0.21899415037542452,0.2284465237935177,50,0.7535125,0.044526972807478825,0.7408580743433707,0.7661669256566294,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,1.1310974198645547,0.5075108722529256,0.9868644258403783,1.2753304138887311,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,93.72,0.6401530429259452,93.53807051816442,93.90192948183558
0.4,3.0,hard,50,50,250.07981939074747,14.992839878060913,245.8189014424516,254.34073733904336,50,0.6196428906376665,0.8583281781338089,0.37570872142865935,0.8635770598466737,50,0.1184,0.009337219793353252,0.11574639149565652,0.12105360850434349,50,0.4261254891012033,0.024238667213227556,0.41923693609779655,0.43301404210461003,50,0.9475916666666664,0.0428527023162483,0.9354130634188941,0.9597702699144387,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,73.1,29.18152197007202,64.80670321752596,81.39329678247402,50,15.06,29.647183849466742,6.634363575677764,23.485636424322237
0.4,3.0,none,50,50,248.1506601215423,13.349394784425565,244.35680410103745,251.94451614204715,0,,,,,50,0.12220000000000003,0.01542460266415115,0.11781637642557721,0.12658362357442285,50,0.44298059305963006,0.04573438767397967,0.42998302389466236,0.45597816222459775,50,0.9850749999999998,0.09161074709020942,0.9590395137473477,1.0111104862526519,50,0.0,0.0,0.0,0.0,50,0.28,0.4535573676110727,0.15110042233801238,0.4088995776619877,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,87.78,1.542460266415115,87.34163764255771,88.21836235744229
