factor,value,distance_layer,independent_instances,offload_rate_n,offload_rate_mean,offload_rate_std,offload_rate_ci95_low,offload_rate_ci95_high,mean_end_to_end_delay_seconds_n,mean_end_to_end_delay_seconds_mean,mean_end_to_end_delay_seconds_std,mean_end_to_end_delay_seconds_ci95_low,mean_end_to_end_delay_seconds_ci95_high,mean_service_quality_n,mean_service_quality_mean,mean_service_quality_std,mean_service_quality_ci95_low,mean_service_quality_ci95_high
image_payload_mb,0.5,middle,50,50,0.12322860962566845,0.057929966084241856,0.10676509542555264,0.13969212382578428,50,44.34727127117204,6.476480476783088,42.5066758849908,46.18786665735328,50,0.02821163872782682,0.0029124101102909515,0.02738394093256816,0.02903933652308548
image_payload_mb,0.5,near,50,50,0.22798573975044562,0.054359299032263594,0.21253699789852423,0.243434481602367,50,41.09917247153207,5.51247637921767,39.532544018563925,42.66580092450022,50,0.02968008924794569,0.0030433212172606204,0.028815186927736786,0.030544991568154597
image_payload_mb,1.0,far,50,50,0.04704099821746879,0.04170283802251462,0.03518918278622237,0.0588928136487152,50,46.88212550204168,9.324512834139147,44.23212827554976,49.5321227285336,50,0.02796116753555611,0.00305813125946398,0.027092056247923248,0.02883027882318897
image_payload_mb,1.0,middle,50,50,0.07509135472370765,0.043623203787463594,0.06269377738066108,0.08748893206675422,50,46.01042048468574,7.308329665756203,43.93341617475167,48.08742479461981,50,0.027633359176956043,0.002856349044833187,0.02682159376021622,0.028445124593695865
image_payload_mb,1.0,near,50,50,0.18160427807486623,0.05181010959916699,0.16688000784389384,0.19632854830583862,50,42.861216081828246,6.470082523100929,41.02243897396509,44.699993189691405,50,0.029106400174226166,0.0028834650446380138,0.028286928475608188,0.029925871872844144
path_loss_exponent,3.0,far,50,50,0.13716577540106947,0.05527584660960406,0.1214565536097557,0.15287499719238323,50,43.192463509961016,7.637282106803924,41.02197195067354,45.36295506924849,50,0.028913825924949482,0.00317736694759614,0.028010828229686594,0.02981682362021237
path_loss_exponent,3.0,middle,50,50,0.1566299019607843,0.06389140936032799,0.13847216432738865,0.17478763959417995,50,42.817102650387824,5.511089144539524,41.25086844515304,44.38333685562261,50,0.02853982086541343,0.0029692735948452643,0.027695962646651903,0.029383679084174955
path_loss_exponent,3.0,near,50,50,0.2166844919786096,0.06452826233146143,0.1983457627334047,0.23502322122381447,50,40.94712311199043,5.425711592780153,39.40515293849558,42.489093285485275,50,0.029363619885336506,0.0030545286322942932,0.028495532453016795,0.030231707317656217
path_loss_exponent,3.5,far,50,50,0.08579322638146163,0.04938740381904368,0.07175748151499162,0.09982897124793164,50,45.411186349309816,8.797979981376866,42.91082810388813,47.9115445947315,50,0.02839002602118538,0.003110829595136628,0.027505938032264494,0.029274114010106263
path_loss_exponent,3.5,middle,50,50,0.12322860962566845,0.057929966084241856,0.10676509542555264,0.13969212382578428,50,44.34727127117204,6.476480476783088,42.5066758849908,46.18786665735328,50,0.02821163872782682,0.0029124101102909515,0.02738394093256816,0.02903933652308548
path_loss_exponent,3.5,near,50,50,0.22798573975044562,0.054359299032263594,0.21253699789852423,0.243434481602367,50,41.09917247153207,5.51247637921767,39.532544018563925,42.66580092450022,50,0.02968008924794569,0.0030433212172606204,0.028815186927736786,0.030544991568154597
path_loss_exponent,3.8,far,50,50,0.044099821746880555,0.03315515844647302,0.03467722997293023,0.053522413520830876,50,47.07709339308073,9.156994651822254,44.47470430724163,49.67948247891983,50,0.027961115245362836,0.0030630070226060576,0.027090618281176856,0.028831612209548815
path_loss_exponent,3.8,middle,50,50,0.08657531194295899,0.049481254642464764,0.07251289496758702,0.10063772891833096,50,45.758031134299664,7.091630441814904,43.742612062398074,47.773450206201254,50,0.027821269463795092,0.002912123581751732,0.026993653099046288,0.028648885828543896
path_loss_exponent,3.8,near,50,50,0.24160427807486629,0.05280934656741225,0.22659602783962352,0.25661252831010906,50,41.342846103216615,6.0300057811083345,39.629137421604554,43.05655478482868,50,0.03008802115035685,0.0031314467544062085,0.029198073829602298,0.030977968471111405
uplink_power_w,0.1,far,50,50,0.08577540106951868,0.04900507425623306,0.07184831306256251,0.09970248907647486,50,45.42324061604407,8.871042464670536,42.902118242615614,47.94436298947252,50,0.02839512671592104,0.003133301854852285,0.027504652181453083,0.029285601250389
uplink_power_w,0.1,middle,50,50,0.12383467023172905,0.058388636649621475,0.10724080329922389,0.1404285371642342,50,44.30634987228703,6.484227149767268,42.46355290600313,46.14914683857093,50,0.02820874303119182,0.0029075868071000983,0.027382416003533104,0.02903507005885054
uplink_power_w,0.1,near,50,50,0.22862745098039208,0.05587238286184803,0.21274869546200137,0.2445062064987828,50,41.0520245216853,5.515051240605595,39.48466430120736,42.619384742163234,50,0.029669031065701613,0.003025889170131249,0.02880908287847173,0.030528979252931496
uplink_power_w,0.2,far,50,50,0.08579322638146163,0.04938740381904368,0.07175748151499162,0.09982897124793164,50,45.411186349309816,8.797979981376866,42.91082810388813,47.9115445947315,50,0.02839002602118538,0.003110829595136628,0.027505938032264494,0.029274114010106263
uplink_power_w,0.2,middle,50,50,0.12322860962566845,0.057929966084241856,0.10676509542555264,0.13969212382578428,50,44.34727127117204,6.476480476783088,42.5066758849908,46.18786665735328,50,0.02821163872782682,0.0029124101102909515,0.02738394093256816,0.02903933652308548
uplink_power_w,0.2,near,50,50,0.22798573975044562,0.054359299032263594,0.21253699789852423,0.243434481602367,50,41.09917247153207,5.51247637921767,39.532544018563925,42.66580092450022,50,0.02968008924794569,0.0030433212172606204,0.028815186927736786,0.030544991568154597
uplink_power_w,0.4,far,50,50,0.08340463458110513,0.04987548635604019,0.06923017819239832,0.09757909096981193,50,45.48245285122743,8.841790739046914,42.96964372623903,47.99526197621583,50,0.02835472926209235,0.003099759953096864,0.02747378723063063,0.02923567129355407
uplink_power_w,0.4,middle,50,50,0.12629679144385025,0.05698448127005081,0.1101019810548465,0.142491601832854,50,44.28184861007383,6.428570085960803,42.45486920630986,46.1088280138378,50,0.028260266993204396,0.002877462968268638,0.02744250106581704,0.029078032920591752
uplink_power_w,0.4,near,50,50,0.2274153297682709,0.054873795897853704,0.2118203695249864,0.24301029001155539,50,41.179897769173174,5.528285182585072,39.60877650399886,42.751019034347486,50,0.02970502260660628,0.003054636779209609,0.028836904439273305,0.030573140773939255
