config_hash,task_pool_id,wireless_index,factor,value,distance_layer,n_users,mean_distance_m,offload_rate,mean_end_to_end_delay_seconds,mean_service_quality
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,bandwidth_mhz,20.0,middle,32,336.4090451155847,0.125,38.65545728594057,0.030726413915436106
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,bandwidth_mhz,20.0,far,34,445.35078440573085,0.11764705882352941,46.55504166367216,0.025872683955733274
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,bandwidth_mhz,40.0,near,34,195.0705207517834,0.2647058823529412,38.43962226732061,0.02741036426133223
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,bandwidth_mhz,40.0,middle,32,336.4090451155847,0.125,38.646283449294785,0.030736535381221543
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,bandwidth_mhz,40.0,far,34,445.35078440573085,0.14705882352941177,45.79281554877633,0.026238301710950523
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,image_payload_mb,0.1,near,34,195.0705207517834,0.2647058823529412,39.943724791853974,0.02825188993750724
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,image_payload_mb,0.1,middle,32,336.4090451155847,0.1875,37.01768421133609,0.031749838690741966
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,image_payload_mb,0.1,far,34,445.35078440573085,0.14705882352941177,46.855500095227136,0.027072023084162296
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,image_payload_mb,0.5,near,34,195.0705207517834,0.17647058823529413,41.12884206144557,0.026282409331705732
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,image_payload_mb,0.5,middle,32,336.4090451155847,0.125,38.65545728594057,0.030726413915436106
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,image_payload_mb,0.5,far,34,445.35078440573085,0.11764705882352941,46.55504166367216,0.025872683955733274
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,image_payload_mb,1.0,near,34,195.0705207517834,0.14705882352941177,41.6965069321389,0.025783521125680657
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,image_payload_mb,1.0,middle,32,336.4090451155847,0.0625,40.019732902611864,0.029819169114430295
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,image_payload_mb,1.0,far,34,445.35078440573085,0.058823529411764705,47.91311867366652,0.02506970414154985
