config_hash,task_pool_id,wireless_index,wireless_seed,resource_scenario,workload_capacity_fraction,memory_available_gb_config,algorithm_seed,algorithm,strategy_bits
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,highly_constrained,0.3,2.0,20263738,wa_mcbr,0001000000000000000100000000000000000001000000000000000011000000000000000010010000001000010000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,highly_constrained,0.3,2.0,20263738,wa_mcbr_swap,0000100000000000001100000001000000000001000000000110000001010000000000000000000000000000000000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,highly_constrained,0.3,2.0,20263738,capacity_greedy,0000100000000000001100000001000000000001000000000100000001010000000100000000000000000000000000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,highly_constrained,0.3,2.0,20263738,lagrangian_relaxation,0000100000000000001100000001000000000001000000000100000001010000000000000000000000001000000000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,highly_constrained,0.3,2.0,20263738,legacy_count_br,0001000000000000000100000000000000000001000000000000000011000000000000000010010000001000010000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,highly_constrained,0.3,2.0,20263738,random_feasible,0000100001000000000100000000000000000000000000000100000010010000000000000001010000001000000000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,highly_constrained,0.3,2.0,20263738,all_local,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,highly_constrained,0.3,2.0,20263738,all_offload,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,9,20291602,highly_constrained,0.3,2.0,20263738,qdp_oracle,0000100000000000001100000001000000000001000000000100000000010000000000000000000000000000000001000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,abundant,1.0,13.0,20264729,wa_mcbr,0000000011000010000000001100000000000000000001000000010000000010010000101100000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,abundant,1.0,13.0,20264729,wa_mcbr_swap,0000000011000010000000001100000000000000000001000000010000000010010000101100000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,abundant,1.0,13.0,20264729,capacity_greedy,0000000011000010000000001100000000000000000001000000010000000010010000101100000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,abundant,1.0,13.0,20264729,lagrangian_relaxation,0000000010000010000000001000000001000000000011000000010000000010010000100100000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,abundant,1.0,13.0,20264729,legacy_count_br,0000000011000010100000011100110000000000100001000000010000000010010010101000001010000011001001001001
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,abundant,1.0,13.0,20264729,random_feasible,1010101001110010110001111011100000000101011100011000001001011110010001101010000000010011100000001110
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,abundant,1.0,13.0,20264729,all_local,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,abundant,1.0,13.0,20264729,all_offload,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,abundant,1.0,13.0,20264729,qdp_oracle,0000000011000010000000001100000000000000000001000000010000000010010000101100000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,moderate,0.6,5.0,20264729,wa_mcbr,0000000011000010000000001000000000000000000001000000010000000010010000101100000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,moderate,0.6,5.0,20264729,wa_mcbr_swap,0000000011000010000000001000000000000000000001000000010000000010010000101100000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,moderate,0.6,5.0,20264729,capacity_greedy,0000000011000010000000001000000000000000000001000000010000000010010000101100000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,moderate,0.6,5.0,20264729,lagrangian_relaxation,0000000011000010000000011100010000000000100001000000010000000010010000001000001010000010001000001010
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,moderate,0.6,5.0,20264729,legacy_count_br,0000100000000010100000001000110000000000100001100000000000000000010010000101101000000010001000001001
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,moderate,0.6,5.0,20264729,random_feasible,0000101001000010100000011001100000000001000000000000000000000010010000101010000000000011000000001010
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,moderate,0.6,5.0,20264729,all_local,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,moderate,0.6,5.0,20264729,all_offload,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,moderate,0.6,5.0,20264729,qdp_oracle,0000000011000010000000001000000000000000000001000000010000000010010000101100000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,highly_constrained,0.3,2.0,20264729,wa_mcbr,0000000000000010000000001000000000000000000001000000000000000000010000000100000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,highly_constrained,0.3,2.0,20264729,wa_mcbr_swap,0000000000000010000000000000000000000000000001000000000000000010000000100100000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,highly_constrained,0.3,2.0,20264729,capacity_greedy,0000000000000000000000000000000000000000000001000000010000000010000000100100000000000010000000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,highly_constrained,0.3,2.0,20264729,lagrangian_relaxation,0000000000000010000000000000000000000000000001000000010000000010000000100000000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,highly_constrained,0.3,2.0,20264729,legacy_count_br,0000000000000010000000001000000000000000000001000000000000000000010000000100000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,highly_constrained,0.3,2.0,20264729,random_feasible,0000000001000010000000001000000000000000000000000000000000000010010000100000000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,highly_constrained,0.3,2.0,20264729,all_local,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,highly_constrained,0.3,2.0,20264729,all_offload,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,0,20300729,highly_constrained,0.3,2.0,20264729,qdp_oracle,0000000000000010000000000000000000000000000001000000000000000010000000100000000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,abundant,1.0,13.0,20264730,wa_mcbr,0000000000000010000000000000000001000000000010010000010000010000010000000100000000000010000000001100
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,abundant,1.0,13.0,20264730,wa_mcbr_swap,0000000000000010000000000000000001000000000010010000010000010000010000000100000000000010000000001100
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,abundant,1.0,13.0,20264730,capacity_greedy,0000000000000010000000000000000001000000000010010000010000010000010000000100000000000010000000001100
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,abundant,1.0,13.0,20264730,lagrangian_relaxation,0000000000000000000000000000000001000000000011010000010000010000000000000100000000000010000000001100
