config_hash,n_nodes,wireless_index,wireless_seed,algorithm,updates,changes,runtime_seconds,signaling_total_bytes,full_single_flip_pass,k_offload,offload_rate,decision_objective,public_objective_J,barrier_penalty,estimated_workload,true_workload,workload_capacity,workload_limit,workload_utilization,estimated_memory_gb,true_memory_gb,memory_available_gb,memory_utilization,estimated_workload_violation,estimated_memory_violation,true_workload_violation,true_memory_violation,total_end_to_end_delay_seconds,mean_end_to_end_delay_seconds,total_device_energy_j,mean_tx_time_ms_offloaded,mean_tx_energy_mj_offloaded,queue_delay_ms_per_offloaded_task
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,50,8,21661505,wa_mcbr,234,42,0.01169991702772677,27612,True,13,0.26,114.83726958520879,114.83726958520879,0.0,11.893203883495145,11.893203883495145,60.0,57.0,0.1982200647249191,3.0712499999999996,3.0712499999999996,13.0,0.23624999999999996,0,0,0,0,1836.9989579799926,36.739979159599855,2995.975209985844,564.2674344619002,59.63153737259319,81.80625630676084
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,50,8,21661505,legacy_count_br,145,26,0.001045958953909576,0,False,19,0.38,128.300796529477,128.300796529477,0.0,17.47572815533981,17.47572815533981,60.0,57.0,0.29126213592233013,4.615000000000001,4.615000000000001,13.0,0.3550000000000001,0,0,0,0,1799.2306024733282,35.98461204946656,2745.7578935791103,1278.870930463566,134.62597784792175,122.73972602739728
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,50,9,21661602,wa_mcbr,218,34,0.011201041983440518,25724,True,14,0.28,112.59034416920713,112.59034416920713,0.0,13.106796116504855,13.106796116504855,60.0,57.0,0.2184466019417476,3.3962499999999998,3.3962499999999998,13.0,0.26125,0,0,0,0,1798.1118815708264,35.96223763141653,2819.5470545898024,532.4014786615121,53.36104212873324,89.87577639751554
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,50,9,21661602,legacy_count_br,211,20,0.001541165984235704,0,False,20,0.4,114.2422362700982,114.2422362700982,0.0,18.93203883495146,18.93203883495146,60.0,57.0,0.3155339805825243,4.8587500000000015,4.8587500000000015,13.0,0.37375000000000014,0,0,0,0,1755.0333769632075,35.10066753926415,2596.8566131037987,626.4206212100077,62.83065518991037,135.24822695035462
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,80,0,21960729,wa_mcbr,494,59,0.0257888330379501,58292,True,16,0.2,186.26174221179002,186.26174221179002,0.0,15.04854368932039,15.04854368932039,60.0,57.0,0.25080906148867316,3.88375,3.88375,13.0,0.29875,0,0,0,0,3338.9047309347916,41.736309136684895,5749.9668751525305,477.852378888855,47.92969703318021,103.69330453563715
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,80,0,21960729,legacy_count_br,371,45,0.0027317500207573175,0,False,22,0.275,188.553370235349,188.553370235349,0.0,20.873786407766996,20.873786407766996,60.0,57.0,0.3478964401294499,5.346250000000002,5.346250000000002,13.0,0.41125000000000017,0,0,0,0,3254.2384689596556,40.67798086199569,5329.491221015304,675.6466265216914,67.78277342293293,153.37468982630278
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,80,1,21960826,wa_mcbr,715,62,0.03526062495075166,84370,True,16,0.2,185.8424148240799,185.8424148240799,0.0,14.805825242718447,14.805825242718447,60.0,57.0,0.24676375404530745,3.88375,3.88375,13.0,0.29875,0,0,0,0,3319.9362431295435,41.499203039119294,5663.637271306875,494.114014071253,52.32945667973429,101.9011815252417
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,80,1,21960826,legacy_count_br,371,56,0.002747792052105069,0,False,24,0.3,190.8513396880108,190.8513396880108,0.0,22.0873786407767,22.0873786407767,60.0,57.0,0.3681229773462783,5.7524999999999995,5.7524999999999995,13.0,0.44249999999999995,0,0,0,0,3231.4014859585104,40.39251857448138,5211.134385666976,742.7486413570285,80.59940279063552,165.64660691421255
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,80,2,21960923,wa_mcbr,675,55,0.03254066698718816,79650,True,14,0.175,188.60288813300727,188.60288813300727,0.0,12.621359223300969,12.621359223300969,60.0,57.0,0.21035598705501615,3.3962499999999998,3.3962499999999998,13.0,0.26125,0,0,0,0,3326.353902291924,41.57942377864905,5685.46576787431,710.1089459102251,76.12627673637506,86.5983606557377
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,80,2,21960923,legacy_count_br,328,50,0.002368584042415023,0,False,25,0.3125,194.02772196489406,194.02772196489406,0.0,23.058252427184467,23.058252427184467,60.0,57.0,0.3843042071197411,6.077500000000001,6.077500000000001,13.0,0.4675,0,0,0,0,3162.4479666828106,39.530599583535135,4869.793363302288,977.8739892572181,103.73453209148342,176.04467805519053
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,80,3,21961020,wa_mcbr,674,51,0.03268495888914913,79532,True,16,0.2,186.47210315868128,186.47210315868128,0.0,15.04854368932039,15.04854368932039,60.0,57.0,0.25080906148867316,3.88375,3.88375,13.0,0.29875,0,0,0,0,3305.330064063802,41.316625800797524,5591.766414029007,579.4356994520189,60.40087681300479,103.69330453563715
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,80,3,21961020,legacy_count_br,457,45,0.003378082998096943,0,False,22,0.275,188.62400793340183,188.62400793340183,0.0,20.388349514563114,20.388349514563114,60.0,57.0,0.3398058252427186,5.2650000000000015,5.2650000000000015,13.0,0.40500000000000014,0,0,0,0,3228.8699192445183,40.36087399055648,5210.852539608753,727.2289496171171,75.11543676148412,148.67647058823536
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,80,4,21961117,wa_mcbr,507,49,0.025193790905177593,59826,True,16,0.2,187.71438244553883,187.71438244553883,0.0,15.29126213592233,15.29126213592233,60.0,57.0,0.25485436893203883,3.98125,3.98125,13.0,0.30625,0,0,0,0,3382.932055080606,42.28665068850758,5951.524499527095,427.74855654435174,45.281220443376164,105.50488599348535
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,80,4,21961117,legacy_count_br,276,38,0.0021430000197142363,0,False,23,0.2875,189.84743665750077,189.84743665750077,0.0,22.08737864077671,22.08737864077671,60.0,57.0,0.36812297734627847,5.687500000000002,5.687500000000002,13.0,0.4375000000000001,0,0,0,0,3286.984444486637,41.08730555608297,5477.09369205057,624.9814142439243,64.9431326334831,165.6466069142126
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,80,5,21961214,wa_mcbr,732,71,0.03574420802760869,86376,True,14,0.175,187.68779197663736,187.68779197663736,0.0,13.349514563106792,13.349514563106792,60.0,57.0,0.2224919093851132,3.4774999999999996,3.4774999999999996,13.0,0.26749999999999996,0,0,0,0,3332.3701224325087,41.65462653040636,5717.728753701032,620.6115398870793,66.33955007366411,91.54006243496356
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,80,5,21961214,legacy_count_br,466,55,0.0034404160687699914,0,False,22,0.275,190.09797782964395,190.09797782964395,0.0,21.11650485436894,21.11650485436894,60.0,57.0,0.35194174757281566,5.427500000000002,5.427500000000002,13.0,0.41750000000000015,0,0,0,0,3268.3533889228383,40.85441736153548,5390.819749353251,696.6589789577257,73.62497060227525,155.76779026217235
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,80,6,21961311,wa_mcbr,725,63,0.03564962500240654,85550,True,17,0.2125,187.2970145718064,187.2970145718064,0.0,15.533980582524272,15.533980582524272,60.0,57.0,0.2588996763754045,4.1275,4.1275,13.0,0.3175,0,0,0,0,3316.942950515803,41.46178688144754,5642.251727156153,559.8961387410167,61.86630330302393,107.33624454148472
